Cust,pPr30,pPr10,pPr05,pIn0.5,pIn1,pIn3,pCp12,pCp20,pCp32,pClD,pClF,pClE,pCnSl,pCnSp,pCnLk,pBrA,pBrB,pBrC,IPr,Iin,ICp,ICl,Icn,IBr
276,1,7,7,1,3,7,1,2,7,1,6,7,1,5,7,3,1,7,40,11,8,10,17,14
277,1,5,7,1,7,7,6,7,1,1,1,7,1,2,7,5,1,7,53,5,7,8,12,15
278,1,6,7,1,1,7,1,6,7,1,7,7,1,7,7,1,7,4,45,5,5,8,22,16
279,1,4,7,1,7,7,6,7,1,1,6,7,1,5,7,7,3,1,2,22,43,12,6,15
280,1,4,7,1,5,7,1,4,7,1,4,7,1,3,7,7,5,1,8,47,8,8,12,16
281,1,4,7,1,4,7,4,7,1,1,5,7,1,1,7,1,3,7,60,2,18,7,3,10
282,1,5,7,1,2,7,1,5,7,1,5,7,1,4,7,1,7,5,33,5,15,24,10,12
283,1,6,7,1,4,7,1,7,3,1,5,7,1,2,7,3,7,1,44,24,5,4,12,10
284,1,7,7,1,2,7,3,1,7,1,5,7,1,4,7,4,1,7,38,11,5,24,7,15
285,1,1,7,1,7,7,3,1,7,1,5,7,1,3,7,7,5,1,4,17,12,41,17,9
286,1,6,7,1,5,7,1,3,7,1,5,7,1,7,7,1,4,7,24,7,7,46,2,13
287,1,6,7,1,4,7,1,7,3,1,7,7,1,6,7,7,4,1,22,8,10,15,29,16
288,1,4,7,1,7,7,1,7,1,1,7,7,1,4,7,1,4,7,60,0,5,0,22,13
289,1,6,7,1,2,7,1,7,4,1,5,7,1,3,7,1,4,7,42,5,4,28,4,16
290,1,2,7,1,3,7,1,7,7,1,7,7,1,4,7,1,7,4,20,19,15,16,18,13
291,1,6,7,1,1,7,1,7,1,1,3,7,1,3,7,3,7,1,24,18,14,13,20,10
292,1,6,7,1,2,7,1,5,7,1,6,7,1,2,7,1,7,4,20,15,5,26,21,13
293,1,7,7,1,1,7,1,2,7,1,5,7,1,4,7,4,7,1,43,5,12,7,22,11
294,1,4,7,1,1,7,1,7,5,1,4,7,1,3,7,5,1,7,50,6,5,18,7,13
295,1,7,7,1,4,7,7,4,1,1,4,7,1,4,7,7,1,5,15,18,5,22,25,16
296,1,7,7,1,6,7,7,4,1,1,4,7,1,1,7,1,3,7,45,8,2,28,4,14
297,1,7,7,1,1,7,6,7,1,1,7,7,1,3,7,4,7,1,40,6,16,14,10,15
298,1,3,7,1,4,7,1,7,4,1,1,7,1,6,7,1,5,7,57,6,6,6,12,13
299,1,7,7,1,2,7,5,7,1,1,6,7,1,3,7,3,1,7,42,7,10,12,15,13
300,1,4,7,1,2,7,1,7,6,1,3,7,1,2,7,1,5,7,57,3,15,7,8,11
301,1,5,7,1,4,7,1,2,7,1,1,7,1,4,7,1,7,5,36,20,13,9,6,16
302,1,3,7,1,1,7,1,7,1,1,5,7,1,4,7,1,5,7,60,3,12,6,4,15
303,1,7,7,1,1,7,1,7,3,1,6,7,1,1,7,1,7,3,20,15,2,31,16,16
304,1,6,7,1,6,7,7,6,1,1,7,7,1,5,7,5,1,7,26,13,7,41,3,11
305,1,5,7,1,4,7,7,5,1,1,4,7,1,6,7,7,1,3,11,11,19,38,8,12
306,1,6,7,1,2,7,7,1,1,1,4,7,1,2,7,1,5,7,45,4,6,30,4,11
307,1,3,7,1,6,7,1,7,6,1,7,7,1,5,7,4,1,7,54,13,6,10,7,10
308,1,3,7,1,6,7,1,7,6,1,6,7,1,2,7,7,1,4,8,24,4,39,15,11
309,1,6,7,1,5,7,1,7,3,1,2,7,1,3,7,7,3,1,12,34,16,14,13,11
310,1,3,7,1,5,7,1,7,1,1,4,7,1,4,7,1,5,7,57,5,5,17,5,10
311,1,3,7,1,5,7,1,7,2,1,3,7,1,1,7,5,1,7,20,23,2,35,5,16
